,AdvertisingExpenses (in Thousand Dollars),Average upland harvested(million acres),Average upland planted(million acres),CPI,Change(in%),CommercialBankInterestRateonCreditCardPlans,Cotton Monthly Price - US cents per Pound(lbs),Earnings or wages  in dollars per hour,Exports,"Finance Rate on Personal Loans at Commercial Banks, 24 Month Loan",Mill use  (in  480-lb netweright in million bales),Monthly Nominal GDP Index (inMillion$),Monthly Real GDP Index (inMillion$),PartyInPower,Period,ProductCategory,Production (in  480-lb netweright in million bales),Sales(In ThousandDollars),Unnamed: 0,Unnamed: 0.1,unemployment rate,yieldperharvested acre
0,137,7.559,9.296,233.40200000000002,4.02,12.03,57.7,22.05,11.55,11.44,4.17,14421.753,14407.053,Democrats,2009 - Jan,MenClothing,12.589,524.0,1,1.0,7.8,799
1,200,7.559,9.296,234.66299999999998,-4.32,12.97,55.21,22.22,11.1,11.05,3.87,14389.2,14366.177,Democrats,2009 - Feb,MenClothing,12.589,496.0,4,4.0,8.3,799
2,?,7.559,9.296,235.067,-6.72,12.97,51.5,22.22,11.65,11.05,3.72,14340.702,14351.787,Democrats,2009 - Mar,MenClothing,12.589,542.0,7,7.0,8.7,799
3,214,7.559,9.296,235.582,10.25,12.97,56.78,22.13,12.225,11.05,3.62,14326.816,14351.601999999999,Democrats,2009 - Apr,MenClothing,12.4,669.0,10,10.0,9.0,787
4,?,7.4,9.297,235.975,9.11,13.32,61.95,22.04,12.3,11.25,3.52,14345.905,14368.124,Democrats,2009 - May,MenClothing,12.384,650.0,13,13.0,9.4,803
5,?,7.76,8.668,237.172,-0.9,13.32,61.39,21.96,10.3,11.25,3.47,14348.531,14346.82,Democrats,2009 - Jun,MenClothing,12.876,607.0,16,16.0,9.5,796
6,?,7.752999999999999,8.905,237.6,5.55,13.32,64.8,22.0,9.7,11.25,3.47,14317.373,14345.676000000001,Democrats,2009 - Jul,MenClothing,12.863,575.0,19,19.0,9.5,796
7,?,7.619,8.905,238.282,-0.83,13.71,64.26,22.16,9.7,10.89,3.47,14424.285,14435.813,Democrats,2009 - Aug,MenClothing,12.84,551.0,22,22.0,9.6,809
8,?,7.5820000000000025,8.988999999999997,238.56799999999998,-0.3,13.71,64.07,22.2,10.0,10.89,3.47,14410.777,14425.973,Democrats,2009 - Sep,MenClothing,13.071,579.0,25,25.0,9.8,827
9,?,7.586,8.988999999999997,238.38,4.29,13.71,66.82,22.27,10.0,10.89,3.37,14596.605,14595.393,Democrats,2009 - Oct,MenClothing,12.630999999999998,610.0,28,28.0,10.0,799
10,?,7.586,8.988999999999997,238.77700000000002,7.42,13.6,71.78,22.44,9.95,11.2,3.37,14590.431999999999,14559.41,Democrats,2009 - Nov,MenClothing,12.129000000000001,620.0,31,31.0,9.9,767
11,?,7.586,8.988999999999997,238.42700000000002,6.97,13.6,76.78,22.38,10.425,11.2,3.37,14512.495,14471.041000000001,Democrats,2009 - Dec,MenClothing,12.225,930.0,34,34.0,9.9,774
12,248,7.5520000000000005,9.008,238.97,0.81,13.6,77.4,22.51,10.4,11.2,3.37,14613.991000000002,14551.025,Democrats,2010 - Jan,MenClothing,12.011,476.0,37,37.0,9.8,763
13,?,7.5520000000000005,9.008,238.862,3.41,14.26,80.04,22.57,11.4,10.83,3.37,14652.88,14581.376,Democrats,2010 - Feb,MenClothing,12.011,471.0,40,40.0,9.8,763
14,?,7.5520000000000005,9.008,240.101,7.18,14.26,85.79,22.48,11.375,10.83,3.47,14776.317,14682.011,Democrats,2010 - Mar,MenClothing,12.011,568.0,43,43.0,9.9,763
15,116,7.5520000000000005,9.008,240.52900000000002,2.68,14.26,88.09,22.53,11.365,10.83,3.47,14844.531,14724.2,Democrats,2010 - Apr,MenClothing,11.751,630.0,46,46.0,9.9,747
16,?,7.391,9.008,241.075,2.25,13.84,90.07,22.6,11.34,11.0,3.375,14875.698,14741.367,Democrats,2010 - May,MenClothing,11.788,627.0,49,49.0,9.6,766
17,?,9.642000000000001,10.315,240.817,1.79,13.84,91.68,22.34,13.05,11.0,3.275,14945.57,14772.318000000001,Democrats,2010 - Jun,MenClothing,16.2,598.0,52,52.0,9.4,806
18,?,10.193,10.7,241.14700000000002,-8.21,13.84,84.15,22.41,13.8,11.0,3.37,15019.235,14833.749,Democrats,2010 - Jul,MenClothing,17.75,544.0,55,55.0,9.4,836
19,?,10.424000000000001,10.7,241.56900000000002,7.37,13.59,90.35,22.55,14.525,10.71,3.37,15036.278,14824.166000000001,Democrats,2010 - Aug,MenClothing,18.035999999999998,673.8088235294117,58,58.0,9.5,831
20,165,10.565999999999999,10.829,241.485,15.92,13.59,104.73,22.6,15.025,10.71,3.57,15117.466999999999,14878.546999999999,Democrats,2010 - Sep,MenClothing,18.343,563.0,61,61.0,9.5,833
21,?,10.565999999999999,10.829,241.981,20.83,13.59,126.55,22.7,15.025,10.71,3.57,15219.059,14945.427,Democrats,2010 - Oct,MenClothing,18.375,634.0,64,64.0,9.4,835
22,150,10.565999999999999,10.829,241.96,22.85,13.44,155.47,22.69,15.275,10.94,3.42,15185.628999999999,14896.675,Democrats,2010 - Nov,MenClothing,17.92,669.0,67,67.0,9.8,814
23,?,10.565999999999999,10.829,241.87400000000002,8.2,13.44,168.22,22.76,15.275,10.94,3.52,15285.936000000005,14975.04,Democrats,2010 - Dec,MenClothing,17.77,988.0,70,70.0,9.3,807
24,?,10.505,10.769,242.639,6.37,13.44,178.93,23.16,15.28,10.94,3.565,15149.136,14838.156,Democrats,2011 - Jan,MenClothing,17.817,487.0,73,73.0,9.1,814
25,?,10.505,10.769,243.832,19.14,13.44,213.18,22.99,15.28,10.98,3.565,15161.578000000001,14801.733999999999,Democrats,2011 - Feb,MenClothing,17.817,497.0,76,76.0,9.0,814
26,?,10.505,10.769,245.61700000000002,7.74,13.44,229.67,22.9,15.28,10.98,3.565,15404.399,15004.115,Democrats,2011 - Mar,MenClothing,17.817,599.0,79,79.0,9.0,814
27,?,10.505,10.769,246.489,-5.68,13.44,216.62,22.96,15.28,10.98,3.665,15488.005,15050.661,Democrats,2011 - Apr,MenClothing,17.597,690.0,82,82.0,9.1,804
28,?,10.497,10.769,248.07299999999998,-23.59,12.89,165.52,23.06,15.02,11.37,3.76,15472.391000000001,14990.964,Democrats,2011 - May,MenClothing,17.6,677.0,85,85.0,9.0,805
29,221,9.95,12.312999999999999,248.505,-2.94,12.89,160.65,22.81,12.4,11.37,3.77,15422.382,14927.333,Democrats,2011 - Jun,MenClothing,16.323,673.8088235294117,88,88.0,9.1,787
30,?,9.314,13.436,249.16400000000002,-7.1,12.89,149.25,22.94,11.325,11.37,3.77,15547.854,15011.761,Democrats,2011 - Jul,MenClothing,15.225,587.0,91,91.0,9.0,785
31,?,9.379,13.436,250.058,-23.55,12.28,114.1,22.85,11.65,10.8,3.77,15649.038,15085.229,Democrats,2011 - Aug,MenClothing,15.817,549.0,94,94.0,9.0,809
32,?,9.562000000000001,14.431,250.55900000000003,2.23,12.28,116.65,23.05,11.325,10.8,3.775,15564.482,14966.823,Democrats,2011 - Sep,MenClothing,15.819,643.0,97,97.0,9.0,794
33,?,9.562000000000001,14.431,250.051,-5.18,12.28,110.61,23.3,10.825,10.8,3.775,15840.385,15249.763,Democrats,2011 - Oct,MenClothing,15.870999999999999,682.0,100,100.0,8.8,797
34,?,9.562000000000001,14.431,249.317,-5.36,12.36,104.68,23.15,10.625,10.36,3.775,15775.006000000001,15172.693000000001,Democrats,2011 - Nov,MenClothing,15.562999999999999,707.0,103,103.0,8.6,781
35,?,9.562000000000001,14.431,248.30700000000002,-8.82,12.36,95.45,23.22,10.65,10.36,3.575,15740.545,15148.822,Democrats,2011 - Dec,MenClothing,15.09,1081.0,106,106.0,8.5,757
36,?,9.443999999999999,14.425999999999998,249.322,5.93,12.36,101.11,23.56,10.35,10.36,3.575,15864.502,15226.205,Democrats,2012 - Jan,MenClothing,14.828,525.0,109,109.0,8.3,754
